"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","DAPR","MDPR","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN"
"USW00014764","PORTLAND JETPORT, ME US","43.64244","-70.30443","13.5","2024-06-14",,,"0.00","0.0","0.0","70","76","60"
"USW00014764","PORTLAND JETPORT, ME US","43.64244","-70.30443","13.5","2024-06-15",,,"0.14","0.0","0.0","67","72","54"
"USW00014764","PORTLAND JETPORT, ME US","43.64244","-70.30443","13.5","2024-06-16",,,"0.00","0.0","0.0","60","70","48"
"USW00014764","PORTLAND JETPORT, ME US","43.64244","-70.30443","13.5","2024-06-17",,,"0.00","0.0","0.0","62","70","56"
"USW00014764","PORTLAND JETPORT, ME US","43.64244","-70.30443","13.5","2024-06-18",,,"0.00","0.0","0.0","72","85","61"
"USW00014764","PORTLAND JETPORT, ME US","43.64244","-70.30443","13.5","2024-06-19",,,"0.00","0.0","0.0","77","90","66"
"USW00014764","PORTLAND JETPORT, ME US","43.64244","-70.30443","13.5","2024-06-20",,,"0.54","0.0","0.0","81","94","71"
"USW00014764","PORTLAND JETPORT, ME US","43.64244","-70.30443","13.5","2024-06-21",,,"0.00","0.0","0.0","72","74","65"
"USW00014764","PORTLAND JETPORT, ME US","43.64244","-70.30443","13.5","2024-06-22",,,"0.82","0.0","0.0","64","66","59"
"USW00014764","PORTLAND JETPORT, ME US","43.64244","-70.30443","13.5","2024-06-23",,,"0.31","0.0","0.0","62","70","59"
"USW00014764","PORTLAND JETPORT, ME US","43.64244","-70.30443","13.5","2024-06-24",,,"0.79","0.0","0.0","72","79","64"
"USW00014764","PORTLAND JETPORT, ME US","43.64244","-70.30443","13.5","2024-06-25",,,"0.00","0.0","0.0","72","87","60"
"USW00014764","PORTLAND JETPORT, ME US","43.64244","-70.30443","13.5","2024-06-26",,,"0.00","0.0","0.0","78","87","68"
"USW00014764","PORTLAND JETPORT, ME US","43.64244","-70.30443","13.5","2024-06-27",,,"0.00","0.0","0.0","73","82","55"
"USW00014764","PORTLAND JETPORT, ME US","43.64244","-70.30443","13.5","2024-06-28",,,"0.00","0.0","0.0","63","74","50"
"USW00014764","PORTLAND JETPORT, ME US","43.64244","-70.30443","13.5","2024-06-29",,,"0.32","0.0","0.0","61","64","58"
"USW00014764","PORTLAND JETPORT, ME US","43.64244","-70.30443","13.5","2024-06-30",,,"0.00","0.0","0.0","71","85","63"
"USW00014764","PORTLAND JETPORT, ME US","43.64244","-70.30443","13.5","2024-07-01",,,"0.00","0.0","0.0","73","81","64"
"USW00014764","PORTLAND JETPORT, ME US","43.64244","-70.30443","13.5","2024-07-02",,,"0.00","0.0","0.0","72","82","58"
"USW00014764","PORTLAND JETPORT, ME US","43.64244","-70.30443","13.5","2024-07-03",,,"0.00","0.0","0.0","71","82","58"
